Goal_Position_X, Goal_Position_Y, Goal_Position_Z, Effector_Position_X, Effector_Position_Y, Effector_Position_Z
-102.79566409751392, -6.484708378260885, 7.0, -100.77236604336142, -6.004394467509325, 6.702194162681257
-102.76195574759629, -6.998603498488942, 7.0, -100.7547580389975, -6.499270350003561, 6.721941475523707
-102.72567835413714, -7.512323653994047, 7.0, -100.73310897475334, -6.994177460204981, 6.742022245173867
-102.68683282406944, -8.025856001799067, 7.0, -100.70741410073933, -7.489061595858496, 6.7624323336930985
-102.64542012852941, -8.539187703622055, 7.0, -100.67766961243419, -7.983868468413103, 6.783167508387137
-102.60144130283227, -9.052305926197203, 7.0, -100.64387265432589, -8.4785437237032, 6.804223444018853
-102.55489744644638, -9.565197841595669, 7.0, -100.6060213230149, -8.973032962656571, 6.825595725076637
-102.50578972296572, -10.077850627546281, 7.0, -100.56411466977642, -9.467281762007389, 6.847279848094855
-102.45411936008082, -10.590251467756094, 7.0, -100.51815270258238, -9.961235695005556, 6.869271224026244
-102.39988764954809, -11.102387552230786, 7.0, -100.46813638758223, -10.454840352104133, 6.891565180661305
-102.34309594715742, -11.614246077594922, 7.0, -100.41406765004298, -10.94804136161123, 6.914156965091211
-102.28374567269844, -12.125814247412029, 7.0, -100.35594937474853, -11.440784410292622, 6.937041746215372
-102.22183830992493, -12.637079272504499, 7.0, -100.29378540586113, -11.933015263917243, 6.9602146172880435
-102.15737540651773, -13.148028371273341, 7.0, -100.22758054624374, -12.424679787721804, 6.983670598502728
-102.09035857404602, -13.658648770017688, 7.0, -100.15734055624796, -12.915723966792864, 7.007404639610308
-102.02078948792719, -14.168927703254177, 7.0, -100.08307215196689, -13.40609392634342, 7.031411622570242
-101.94866988738474, -14.678852414036047, 7.0, -100.00478300295838, -13.895735951884859, 7.0556863642307945
-101.87400157540492, -15.18841015427209, 7.0, -99.92248172943859, -14.384596509266132, 7.080223619035978
-101.79678641869165, -15.697588185045339, 7.0, -99.83617789895105, -14.872622264579054, 7.105018081759299
-101.71702634761982, -16.20637377693154, 7.0, -99.74588202251431, -15.359760103920069, 7.130064390254567
-101.63472335618707, -16.714754210317402, 7.0, -99.65160555025142, -15.845957152988262, 7.155357128231186
-101.54987950196387, -17.222716775718567, 7.0, -99.55336086650574, -16.33116079651427, 7.180890828043768
-101.46249690604219, -17.730248774097355, 7.0, -99.45116128444712, -16.81531869750677, 7.206659973495795
-101.37257775298235, -18.237337517180237, 7.0, -99.34502104017419, -17.298378816314667, 7.2326590026571385
-101.2801242907585, -18.74397032777505, 7.0, -99.2349552863156, -17.780289429478344, 7.2588823106886196
-101.18513883070237, -19.250134540087917, 7.0, -99.1209800851378, -18.260999148374392, 7.28532425267791
-101.08762374744555, -19.755817500039896, 7.0, -99.00311240116261, -18.740456937639365, 7.311979146474691
-100.98758147886001, -20.261006565583315, 7.0, -98.88137009330222, -19.218612133360207, 7.338841275534936
-100.88501452599726, -20.76568910701786, 7.0, -98.7557719065157, -19.695414461024175, 7.365904891759683
-100.7799254530258, -21.269852507306275, 7.0, -98.6263374629947, -20.170814053222184, 7.393164218335896
-100.67231688716696, -21.773484162389806, 7.0, -98.49308725288421, -20.644761467088586, 7.420613452572806
-100.56219151862928, -22.276571481503318, 7.0, -98.35604262454439, -21.117207701476747, 7.448246768729895
-100.44955210054124, -22.779101887490025, 7.0, -98.215225774362, -21.588104213856113, 7.476058320840053
-100.33440144888243, -23.281062817115956, 7.0, -98.07065973611661, -22.057402936927268, 7.50404224551963
-100.21674244241315, -23.782441721384018, 7.0, -97.92236836991123, -22.52505629493695, 7.532192664769059
-100.09657802260242, -24.283226065847707, 7.0, -97.77037635067246, -22.991017219699586, 7.560503688756026
-99.9739111935545, -24.783403330924504, 7.0, -97.61470915623036, -23.45523916630362, 7.588969418584858
-99.8487450219337, -25.282961012208826, 7.0, -97.45539305498599, -23.917676128497185, 7.617583949049293
-99.7210826368878, -25.781886620784665, 7.0, -97.29245509317192, -24.378282653758944, 7.6463413713603225
-99.59092722996978, -26.28016768353779, 7.0, -97.12592308172103, -24.837013858017723, 7.6752357758596546
-99.45828205505804, -26.77779174346758, 7.0, -96.95582558274351, -25.29382544005033, 7.704261254702059
-99.59092722996978, -26.28016768353779, 7.0, -96.78219189563148, -25.748673695511393, 7.733411904519983
-99.7210826368878, -25.781886620784665, 7.0, -96.96894992388596, -25.24747854594114, 7.7111575312259255
-99.8487450219337, -25.282961012208826, 7.0, -97.13628906032895, -24.794290662156588, 7.683256131769588
-99.9739111935545, -24.7834033309245, 7.0, -97.30205257557029, -24.335871212937764, 7.654470931252215
-100.09657802260243, -24.283226065847707, 7.0, -97.46413038522134, -23.875751607583723, 7.6254965344997085
-100.21674244241315, -23.782441721384014, 7.0, -97.62260227837189, -23.413781751977602, 7.596607775728774
-100.33440144888243, -23.281062817115952, 7.0, -97.77743427188983, -22.950017839414198, 7.567844691731139
-100.44955210054124, -22.779101887490025, 7.0, -97.92859997305901, -22.484504581587423, 7.539223911936927
-100.56219151862928, -22.276571481503314, 7.0, -98.07607329831751, -22.017288050471837, 7.510753224243397
-100.67231688716696, -21.773484162389803, 7.0, -98.21982894400418, -21.548414864689782, 7.4824390388736735
-100.7799254530258, -21.269852507306272, 7.0, -98.35984239910903, -21.077932184032427, 7.454287393270827
-100.88501452599726, -20.76568910701786, 7.0, -98.49608996301765, -20.60588768638183, 7.426304247564389
-100.98758147886001, -20.261006565583312, 7.0, -98.62854875869381, -20.132329550653544, 7.398495535657251
-101.08762374744555, -19.755817500039893, 7.0, -98.75719674466617, -19.657306440493464, 7.370867175533996
-101.18513883070237, -19.250134540087913, 7.0, -98.88201272642794, -19.180867487898198, 7.343425069071304
-101.2801242907585, -18.74397032777505, 7.0, -99.00297636736867, -18.703062276584717, 7.316175099779936
-101.37257775298235, -18.237337517180233, 7.0, -99.12006819926319, -18.22394082506171, 7.289123130045509
-101.46249690604219, -17.73024877409735, 7.0, -99.23326963231459, -17.74355356940731, 7.262274998259587
-101.54987950196387, -17.222716775718563, 7.0, -99.3425629647449, -17.261951345755307, 7.235636515914054
-101.63472335618707, -16.714754210317402, 7.0, -99.44793139192481, -16.779185372498628, 7.209213464680227
-101.71702634761982, -16.20637377693154, 7.0, -99.54935901503681, -16.29530723221481, 7.183011593479938
-101.79678641869165, -15.697588185045335, 7.0, -99.64683084925879, -15.810368853331687, 7.157036615551164
-101.87400157540492, -15.188410154272086, 7.0, -99.74033283146602, -15.324422491530502, 7.1312942055100805
-101.94866988738474, -14.678852414036044, 7.0, -99.82985182744076, -14.837520710902892, 7.105789996411167
-102.02078948792719, -14.168927703254175, 7.0, -99.9153756385829, -14.349716364869513, 7.080529576811803
-102.09035857404602, -13.658648770017685, 7.0, -99.99689300811411, -13.861062576871435, 7.055518487838698
-102.15737540651773, -13.148028371273337, 7.0, -100.07439362677114, -13.371612720838773, 7.030762220262037
-102.22183830992493, -12.637079272504495, 7.0, -100.14786813797727, -12.881420401456971, 7.006266211579431
-102.28374567269846, -12.125814247412025, 7.0, -100.21730814249051, -12.390539434230707, 6.982035843110195
-102.34309594715742, -11.61424607759492, 7.0, -100.28270620251955, -11.89902382536322, 6.9580764371075805
-102.39988764954809, -11.102387552230784, 7.0, -100.34405584530167, -11.406927751463007, 6.93439325388552
-102.45411936008082, -10.59025146775609, 7.0, -100.40135156613975, -10.914305539082962, 6.91099148896683
-102.50578972296572, -10.077850627546278, 7.0, -100.4545888308896, -10.421211644114384, 6.887876270254866
-102.55489744644638, -9.565197841595666, 7.0, -100.50376407789744, -9.927700631035858, 6.865052655231446
-102.60144130283227, -9.0523059261972, 7.0, -100.54887471937853, -9.433827152042848, 6.8425256281816615
-102.64542012852941, -8.539187703622051, 7.0, -100.58991914223675, -8.93964592606046, 6.82030009745292
-102.68683282406944, -8.025856001799063, 7.0, -100.62689670831824, -8.445211717662952, 6.798380892748188
-102.72567835413714, -7.512323653994043, 7.0, -100.6598077541009, -7.950579315899468, 6.77677276245509
-102.76195574759629, -6.998603498488939, 7.0, -100.68865358981006, -7.455803513060825, 6.755480371018051
