Goal_Position_X, Goal_Position_Y, Goal_Position_Z, Effector_Position_X, Effector_Position_Y, Effector_Position_Z
-102.78912799238869, 6.58750078287184, 7.0, -99.93109343827258, 6.117576791871996, 6.321600165510291
-102.80209740698363, 6.381909488942031, 7.0, -99.9630998213759, 5.92677226185181, 6.325807566855076
-102.81465561332602, 6.176292667382776, 7.0, -99.9945252486379, 5.7357565102576675, 6.330079339780476
-102.82680256118306, 5.9706511406610865, 7.0, -100.02536803994724, 5.5445324511352165, 6.33441540496155
-102.83853820196694, 5.7649857313427955, 7.0, -100.05562653275479, 5.353103013041818, 6.338815679812376
-102.84986248873513, 5.559297262089266, 7.0, -100.0852990822328, 5.161471138901472, 6.343280078487268
-102.86077537619052, 5.3535865556541, 7.0, -100.11438406143724, 4.969639785845194, 6.34780851188282
-102.87127682068153, 5.147854434879849, 7.0, -100.14287986146735, 4.777611925053269, 6.352400887640062
-102.88136678020241, 4.942101722694724, 7.0, -100.17078489162324, 4.585390541596796, 6.357057110147442
-102.89104521439337, 4.736329242109296, 7.0, -100.1980975795599, 4.392978634287219, 6.361777080542744
-102.90031208454064, 4.530537816213216, 7.0, -100.22481637144736, 4.2003792154954125, 6.366560696718475
-102.90916735357679, 4.32472826817191, 7.0, -100.2509397321182, 4.00759531100886, 6.371407853323644
-102.91761098608073, 4.118901421223299, 7.0, -100.27646614522406, 3.814629959851346, 6.376318441769609
-102.92564294827794, 3.9130580986744947, 7.0, -100.3013941133834, 3.621486214124719, 6.381292350233682
-102.93326320804061, 3.7071991238985134, 7.0, -100.32572215833082, 3.428167138838666, 6.386329463664764
-102.94047173488768, 3.5013253203309795, 7.0, -100.34944882106458, 3.234675811741567, 6.3914296637883
-102.94726849998507, 3.295437511466832, 7.0, -100.37257266199293, 3.041015323144123, 6.396592829112876
-102.95365347614572, 3.089536520857033, 7.0, -100.39509226107566, 2.847188775757184, 6.401818834935114
-102.95962663782973, 2.8836231721052696, 7.0, -100.4170062179688, 2.6531992845083288, 6.407107553347655
-102.96518796114448, 2.677698288864663, 7.0, -100.43831315216389, 2.459049976371226, 6.412458853245283
